depth,SampleID,SeqDay,midSeqDay,Start_Date,StartYr,StartMo,StartDay,MidJDay,Duration,Fr_gt_1000,Fr500_1000,Fr125_500,Fr37_125,Fr_lt_37,Fr_lt_125,MassFlux,pcnt_Carb37_125,pcnt_Carb_lt_37,pcnt_Carb_lt_125,CarbFlux,pcnt_Corg37_125,d13Corg37_125,pcnt_Corg_lt_37,d13Corg_lt_37,d13Corg_lt_37_A,pcnt_Corg_lt_125,d13Corg_lt_125,CorgFlux,pcnt_N37_125,d15N37_125,pcnt_N_lt_37,d15N_lt_37,d15N_lt_37_A,pcnt_N_lt_125,d15N_lt_125,d15N_lt_125_A,Nflux,pcnt_Ppart_lt_37,pcnt_Ppart_lt_125,pcnt_Ppart_lt_1000,pcnt_Psuper,PtotalFlux,pcnt_Opal37_125,pcnt_Opal_lt_37,pcnt_Opal_lt_1000est,OpalFlux,pcnt_Lith_lt_1000est,LithFlux,Comments
500,%  8/90-2,4426,4433.5,1990-05-19,1990,5,19,146.5,15,23.88,11.26,26.75,29.95,52.17,82.12,19.2,63.68,55.01,58.17,11.17,10.67,nd,12.36,nd,nd,11.74,nd,2.25,1.56,nd,1.86,nd,2.53,1.75,nd,nd,0.34,0.287,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/90-3,4441,4445,1990-06-03,1990,6,3,158,8,12.3,5.85,9.17,5.53,14.75,20.28,11.9,59.53,28.91,37.26,4.43,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.33,nd,2.28,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/90-4,4453,4460,1990-06-15,1990,6,15,173,14,164.4,10.4,27.6,25.42,54.99,80.41,40.4,49.47,58.02,55.32,22.35,11.63,nd,10.68,nd,nd,10.98,nd,4.44,1.7,nd,1.52,nd,3.86,1.58,nd,nd,0.64,0.258,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/90-5,4467,4473,1990-06-29,1990,6,29,186,12,69.27,9.99,25.48,20.14,21.8,41.94,24.45,nd,44.34,nd,12.43,13.35,nd,13.4,nd,nd,13.38,nd,3.27,1.87,nd,2.2,nd,nd,2.04,nd,nd,0.50,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/90-6,4479,4486,1990-07-11,1990,7,11,199,14,37.57,10.04,18.79,8.17,11.35,19.52,12.27,nd,19.68,nd,6.24,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/90-7,4493,4500,1990-07-25,1990,7,25,213,14,148.95,8.82,32.57,33.33,37.44,70.77,37.3,50.06,45.36,47.57,17.75,14.38,nd,14.18,nd,nd,14.27,nd,5.32,1.63,nd,2.27,nd,nd,1.97,nd,nd,0.73,0.278,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 12/90-1,4509,4517,1990-08-10,1990,8,10,230,16,23.75,13.25,27.94,41.24,41.4,82.64,18.45,46.88,41.51,44.19,8.15,13.1,nd,11.79,nd,nd,12.44,nd,2.3,1.11,nd,2.02,nd,nd,1.57,nd,nd,0.29,0.236,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 12/90-2,4525,4533,1990-08-26,1990,8,26,246,16,4.04,5.4,11.91,9.01,13.8,22.81,5.52,67.72,29.39,44.53,2.46,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 12/90-3,4541,4549.5,1990-09-11,1990,9,11,262.5,17,9.89,8.43,22.36,22.67,33.4,56.07,11.38,63.11,42.46,50.81,5.78,8.75,nd,11.35,nd,nd,10.3,nd,1.17,1.11,nd,1.86,nd,nd,1.56,nd,nd,0.18,0.182,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 12/90-4,4558,4566.5,1990-09-28,1990,9,28,279.5,17,66,49.84,107.23,78.42,119.4,197.82,49.52,32.14,43.81,39.18,19.4,8.21,nd,11.24,nd,nd,10.04,nd,4.97,1.65,nd,2.35,nd,3.64,2.07,nd,nd,1.02,0.210,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 12/90-5,4579,4585.5,1990-10-19,1990,10,19,298.5,13,19.39,5.7,16.18,13.79,35.25,49.04,13.89,62.83,47.83,52.05,7.23,nd,nd,9.87,nd,nd,nd,nd,nd,nd,nd,1.55,nd,3.57,nd,nd,nd,nd,0.160,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 12/90-6,4592,4598.5,1990-11-01,1990,11,1,311.5,13,124.2,19.4,32.01,36.06,69.03,105.09,43.18,64.96,54.85,58.32,25.18,7.36,nd,8.53,nd,nd,8.13,nd,3.51,1.1,nd,1.5,nd,1.35,1.37,nd,nd,0.59,0.186,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 12/90-7,4605,4611.5,1990-11-14,1990,11,14,324.5,13,15.68,14.13,16.54,9.12,18.74,27.86,11.42,70.07,42.16,51.3,5.86,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 12/90-8,4618,4624.5,1990-11-27,1990,11,27,337.5,13,21.22,6.36,14.38,23.08,16.02,39.1,12.47,44.3,33.66,39.94,4.98,5.44,nd,nd,nd,nd,nd,nd,nd,0.83,nd,0.66,nd,1.02,0.76,nd,nd,0.25,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  2/91-1,4634,4640.5,1990-12-13,1990,12,13,353.5,13,26.11,42.07,108.77,50.34,107.27,157.61,51.47,71.45,66.17,67.86,34.93,8.07,nd,7.95,nd,-22.02,7.99,nd,4.11,1.19,nd,0.74,nd,1.65,0.89,nd,nd,0.46,0.081,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  2/91-2,4647,4654,1990-12-26,1990,12,26,2,14,0,105.69,242.54,58.15,198.53,256.68,86.42,70.95,49.65,54.48,47.08,9.16,nd,19,nd,nd,16.77,nd,14.49,1.16,nd,2.66,nd,nd,2.32,nd,nd,2.00,0.313,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  2/91-3,4661,4668,1991-01-09,1991,1,9,16,14,0,136.59,181.03,19.3,50.84,70.14,55.39,55.48,62.62,60.66,33.6,nd,nd,10.35,nd,-21.36,nd,nd,nd,nd,nd,1.24,nd,4.75,nd,nd,nd,nd,0.151,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  2/91-4,4675,4682,1991-01-23,1991,1,23,30,14,80.24,49.19,136.16,73.88,93.61,167.49,61.87,71.89,63.42,67.16,41.55,9.02,nd,9.2,nd,-21.54,9.12,nd,5.64,1.49,nd,1.35,nd,4.22,1.41,nd,nd,0.87,0.115,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  4/91-1,4690,4698,1991-02-07,1991,2,7,46,16,37.38,11.32,42.88,14.75,44.84,59.59,18.9,62.92,48.18,51.83,9.79,nd,nd,17.99,nd,nd,nd,nd,nd,nd,nd,3.05,nd,8.08,nd,nd,nd,nd,0.271,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  4/91-2,4706,4714,1991-02-23,1991,2,23,62,16,27.98,77.21,128.59,79.04,216.12,295.16,66.12,76.06,65.22,68.12,45.04,9.26,nd,7.95,nd,nd,8.3,nd,5.49,1.47,nd,1.5,nd,nd,1.49,nd,nd,0.99,0.105,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  4/91-3,4722,4729.5,1991-03-11,1991,3,11,77.5,15,20.23,48.25,100.77,7.71,13.12,20.83,25.34,65.78,28.56,42.34,10.73,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  4/91-4,4737,4744.5,1991-03-26,1991,3,26,92.5,15,53.39,87.98,265.9,68.33,299.42,367.75,103.34,60.5,42.2,45.6,47.12,8.45,nd,9.74,nd,-22.18,9.5,nd,9.82,1.64,nd,1.29,nd,2.25,1.35,nd,nd,1.4,0.133,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/91-1,4753,4761,1991-04-11,1991,4,11,109,16,7.34,42.61,216.15,65.42,145.69,211.11,59.65,39.98,53.69,49.44,29.49,11.56,nd,8.2,nd,-21.11,9.24,nd,5.51,1.7,nd,1.33,nd,5.44,1.44,nd,nd,0.86,0.146,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/91-2,4769,4776.5,1991-04-27,1991,4,27,124.5,15,51.02,12.98,62.53,65.77,68.42,134.19,34.76,74.8,58.05,66.26,23.03,5.6,nd,7.14,nd,-21.29,6.39,nd,2.22,0.79,nd,0.97,nd,4.49,0.88,nd,nd,0.31,0.138,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/91-3,4784,4791.5,1991-05-12,1991,5,12,139.5,15,38.32,4.86,26.45,83.97,99.79,183.76,33.79,68.19,61.46,64.54,21.8,5.69,nd,6.87,nd,-21.32,6.33,nd,2.14,0.88,nd,1.1,nd,4.74,1,nd,nd,0.34,0.150,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/91-4,4799,4807,1991-05-27,1991,5,27,155,16,102.26,6.47,22.94,74.82,114.16,188.98,40.08,59.72,62.6,61.46,24.63,7.33,nd,6.58,nd,-21.37,6.88,nd,2.76,1.06,nd,0.96,nd,3.81,1,nd,nd,0.4,0.119,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/91-5,4818,4824.5,1991-06-15,1991,6,15,172.5,13,78.74,8.61,27.11,50.22,106.77,156.99,41.76,64.94,68.8,67.57,28.22,9.54,nd,6.99,nd,-21.83,7.81,nd,3.26,1.38,nd,0.92,nd,2.52,1.07,nd,nd,0.45,0.134,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/91-6,4831,4837.5,1991-06-28,1991,6,28,185.5,13,74.28,12.4,24.1,40.54,53.13,93.67,31.45,64.23,55.5,59.28,18.65,9.7,nd,8.05,nd,-21.73,8.76,nd,2.76,1.31,nd,1.01,nd,2.28,1.14,nd,nd,0.36,0.126,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/91-7,4844,4850.5,1991-07-11,1991,7,11,198.5,13,126.16,9.43,36.82,58.07,104.89,162.96,51.6,53.25,64.97,60.79,31.37,11.75,nd,8.71,nd,-22.21,9.79,nd,5.05,1.55,nd,1.01,nd,2.15,1.2,nd,nd,0.62,0.127,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/91-8,4857,4863,1991-07-24,1991,7,24,211,12,97.42,10.97,26.78,38.03,84.22,122.25,42.9,56.41,60.58,59.28,25.43,12.2,nd,9.45,nd,-21.99,10.31,nd,4.42,1.64,nd,1.24,nd,2.41,1.37,nd,nd,0.59,0.155,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 10/91-1,4871,4878,1991-08-07,1991,8,7,226,14,208.4,8.03,20.81,16.88,55.72,72.6,44.26,47.58,55.16,53.4,23.64,nd,nd,11.17,nd,nd,nd,nd,nd,nd,nd,1.9,nd,nd,nd,nd,nd,nd,0.192,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 10/91-2,4885,4892,1991-08-21,1991,8,21,240,14,72.23,7.66,21.66,22.03,74.85,96.88,28.35,57.09,53.42,54.25,15.38,9.68,nd,8.32,nd,-21.93,8.63,nd,2.45,1.34,nd,1,nd,2.3,1.08,nd,nd,0.30,0.125,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 10/91-3,4899,4906,1991-09-04,1991,9,4,254,14,45.92,5.94,28.49,24.73,100.31,125.04,29.34,71.84,56.51,59.54,17.47,7.35,nd,8.34,nd,-22.51,8.14,nd,2.39,0.99,nd,0.99,nd,2.21,0.99,nd,nd,0.29,0.126,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 10/91-4,4913,4920,1991-09-18,1991,9,18,268,14,28.47,6.53,18.1,11.28,30.51,41.79,13.56,63.11,51.2,54.41,7.38,nd,nd,10.19,nd,nd,nd,nd,nd,nd,nd,1.52,nd,nd,nd,nd,nd,nd,0.202,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 10/91-5,4927,4934,1991-10-02,1991,10,2,282,14,43.81,9.39,27.9,46.1,85.62,131.72,30.4,69.54,57.95,62.01,18.85,7.51,nd,8.34,nd,nd,8.05,nd,2.45,1.14,nd,0.98,nd,nd,1.04,nd,nd,0.32,0.128,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 12/91-1,4942,4950,1991-10-17,1991,10,17,298,16,3,3.41,5.58,20.66,26.61,47.27,7.41,89.19,70.13,78.46,5.81,1.64,nd,3.34,nd,nd,2.6,nd,0.19,0.28,nd,0.5,nd,nd,0.4,nd,nd,0.15,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 12/91-2,4958,4965.5,1991-11-02,1991,11,2,313.5,15,7.99,6.83,19.23,32.24,34.43,66.67,13.43,82.89,64.83,73.56,9.88,2.8,nd,5.52,nd,nd,4.2,nd,0.56,0.7,nd,0.71,nd,nd,0.71,nd,nd,0.10,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 12/91-3,4973,4981,1991-11-17,1991,11,17,329,16,6.78,7.12,8.08,13.52,29.09,42.61,8.07,74.74,60.95,65.33,5.27,nd,nd,6.01,nd,nd,nd,nd,nd,nd,nd,0.72,nd,nd,nd,nd,nd,nd,0.079,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 4/92-1,4992,4999,1991-12-06,1991,12,6,347,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,sample lost
500,%  4/92-2,5006,5013.5,1991-12-20,1991,12,20,361.5,15,nd,114.62,293.6,43.42,62.67,106.09,68.57,15.68,21.03,18.84,34.86,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.35,0.334,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,swimmer/fish contamination or anoxic
500,%  4/92-3,5021,5028.5,1992-01-04,1992,1,4,11.5,15,34.37,212.03,302.24,34.32,71.45,105.77,87.25,73.85,58.13,63.23,55.17,7.48,nd,9.23,nd,-21.09,8.66,nd,7.56,1.4,nd,1.29,nd,3.22,1.33,nd,nd,1.16,0.143,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  4/92-4,5036,5043.5,1992-01-19,1992,1,19,26.5,15,50.15,83.02,113.28,32.02,70.75,102.77,46.56,67.82,66.36,66.81,31.11,5.69,nd,7.26,nd,-20.96,6.77,nd,3.15,1.23,nd,1.28,nd,3.41,1.26,nd,nd,0.59,0.154,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
